id,created_at,condominio_id,turno_obs_cond_id,quantidade,material,unidade,obs_material_cond
39,2026-02-22 15:31:36.121466-03,41,15,1,Mouse,Unidade,
38,2026-02-22 15:31:27.437603-03,41,15,1,WebCam,Unidade,
37,2026-02-22 15:31:15.638958-03,41,15,1,Teclado,Unidade,
36,2026-02-22 15:29:03.117859-03,41,15,2,Controle da TV,Unidade,
35,2026-02-22 15:28:42.423666-03,41,15,1,Ar condicionado,Unidade,
34,2026-02-22 15:28:35.973182-03,41,15,1,ventilador,Unidade,
33,2026-02-22 15:28:07.469036-03,41,15,4,Chaves aleatórias,Unidade,
32,2026-02-22 15:26:23.623218-03,41,15,35,Chaves no Quadro,Unidade,
31,2026-02-22 15:25:23.924726-03,41,15,1,Com´putador,Unidade,
30,2026-02-22 15:25:14.102308-03,41,15,1,Nobreak,Unidade,
29,2026-02-22 15:25:04.984817-03,41,15,3,Monitores,Unidade,
28,2026-02-22 15:24:51.26888-03,41,15,1,Filtro de água,Unidade,
27,2026-02-22 15:24:38.025825-03,41,15,1,Telefone sem fio,Unidade,
26,2026-02-22 15:24:25.076534-03,41,15,1,Interfone,Unidade,
25,2026-02-22 15:15:21.248365-03,41,15,2,Rádio comunicador,Unidade,
24,2026-02-22 15:14:56.934718-03,41,15,1,Lápis,Unidade,
23,2026-02-22 15:14:42.516223-03,41,15,7,Canetas,Unidade,
22,2026-02-22 15:14:27.534473-03,41,15,1,Tesoura,Unidade,
21,2026-02-22 15:14:11.518708-03,41,15,1,Porta Durex,Unidade,
20,2026-02-22 15:13:39.274004-03,41,15,1,Grampeador,Unidade,
19,2026-02-22 15:13:12.57748-03,41,15,1,Controle alarme central,Unidade,
18,2026-02-22 15:12:43.055782-03,41,15,1,Controle ar condicionado,Unidade,
17,2026-02-22 15:12:12.713901-03,41,15,2,Controles dos portões,Unidade,